Price,Close,High,Low,Open,Volume
Ticker,MELI,MELI,MELI,MELI,MELI
Date,,,,,
2023-01-03,826.1099853515625,874.0599975585938,815.8599853515625,867.5800170898438,775500
2023-01-04,837.4400024414062,849.2899780273438,821.97998046875,842.0,404900
2023-01-05,856.0900268554688,859.9600219726562,818.010009765625,827.8699951171875,415200
2023-01-06,873.469970703125,879.4199829101562,847.010009765625,856.0900268554688,343000
2023-01-09,897.3099975585938,920.0,882.0,891.260009765625,451800
2023-01-10,915.780029296875,919.1900024414062,896.3099975585938,897.0,270200
2023-01-11,936.7999877929688,936.8900146484375,911.0999755859375,928.2899780273438,466100
2023-01-12,1024.31005859375,1033.7900390625,933.5700073242188,983.0,1132200
2023-01-13,1082.9200439453125,1091.8499755859375,1011.0,1011.1500244140625,1237100
2023-01-17,1070.0,1089.0,1046.8599853515625,1081.27001953125,593800
2023-01-18,1068.9200439453125,1108.5999755859375,1049.8599853515625,1082.1199951171875,794400
2023-01-19,1072.739990234375,1085.0,1040.469970703125,1045.3699951171875,769400
2023-01-20,1098.0899658203125,1101.8900146484375,1072.550048828125,1076.6500244140625,504700
2023-01-23,1095.0,1121.6199951171875,1090.5400390625,1097.6700439453125,582100
2023-01-24,1109.9100341796875,1113.93994140625,1074.06005859375,1079.22998046875,441000
2023-01-25,1130.6400146484375,1133.6800537109375,1073.1600341796875,1080.0,475600
2023-01-26,1188.5799560546875,1190.9300537109375,1151.31005859375,1151.31005859375,826200
2023-01-27,1221.27001953125,1233.280029296875,1183.0,1187.3499755859375,702500
2023-01-30,1161.800048828125,1210.25,1160.6099853515625,1190.6199951171875,758700
2023-01-31,1181.68994140625,1183.1800537109375,1153.010009765625,1170.010009765625,496700
2023-02-01,1214.2900390625,1222.0,1152.47998046875,1180.0,603300
2023-02-02,1226.5799560546875,1250.47998046875,1201.780029296875,1235.9200439453125,653900
2023-02-03,1187.25,1223.5400390625,1161.8800048828125,1175.699951171875,556400
2023-02-06,1175.43994140625,1188.7900390625,1158.8800048828125,1168.699951171875,486600
2023-02-07,1173.81005859375,1177.25,1129.530029296875,1168.239990234375,820600
2023-02-08,1166.9000244140625,1192.3499755859375,1158.949951171875,1161.699951171875,376000
2023-02-09,1143.6500244140625,1194.6199951171875,1136.8399658203125,1189.97998046875,330900
2023-02-10,1104.949951171875,1129.5699462890625,1097.8299560546875,1125.77001953125,400200
2023-02-13,1112.3199462890625,1126.6400146484375,1102.9100341796875,1111.1600341796875,288100
2023-02-14,1132.31005859375,1147.530029296875,1083.0999755859375,1101.9300537109375,389800
2023-02-15,1159.5999755859375,1164.0,1115.27001953125,1122.0,338700
2023-02-16,1119.6400146484375,1156.75,1117.8499755859375,1131.75,394300
2023-02-17,1100.8699951171875,1112.010009765625,1088.3599853515625,1104.699951171875,427500
2023-02-21,1099.3299560546875,1123.31005859375,1085.1500244140625,1094.9000244140625,656900
2023-02-22,1118.260009765625,1134.4100341796875,1093.3199462890625,1104.6700439453125,683300
2023-02-23,1136.260009765625,1142.3399658203125,1101.050048828125,1134.8800048828125,720500
2023-02-24,1156.8800048828125,1181.699951171875,1118.81005859375,1163.25,1089900
2023-02-27,1182.989990234375,1192.1600341796875,1153.3699951171875,1172.8399658203125,701600
2023-02-28,1220.0,1223.050048828125,1186.1800537109375,1191.989990234375,568700
2023-03-01,1208.719970703125,1225.0,1190.2099609375,1220.8499755859375,580400
2023-03-02,1218.52001953125,1223.0400390625,1188.0,1195.0,359600
2023-03-03,1226.739990234375,1227.969970703125,1203.22998046875,1226.47998046875,556800
2023-03-06,1256.260009765625,1273.8599853515625,1218.8299560546875,1233.0,624100
2023-03-07,1264.9100341796875,1268.3299560546875,1236.1300048828125,1260.9599609375,559600
2023-03-08,1252.5699462890625,1265.0,1230.3199462890625,1264.719970703125,318100
2023-03-09,1201.7900390625,1268.0,1196.260009765625,1243.77001953125,456000
2023-03-10,1168.0400390625,1201.1400146484375,1143.6199951171875,1193.0,662000
2023-03-13,1162.3299560546875,1180.6700439453125,1124.02001953125,1152.780029296875,531400
2023-03-14,1214.9599609375,1216.280029296875,1179.1600341796875,1193.300048828125,471400
2023-03-15,1188.9599609375,1200.0,1159.3499755859375,1186.72998046875,475000
2023-03-16,1214.739990234375,1228.77001953125,1173.3699951171875,1180.0,495500
2023-03-17,1201.1500244140625,1208.0,1180.780029296875,1200.1700439453125,641800
2023-03-20,1182.75,1198.56005859375,1167.0,1197.280029296875,376700
2023-03-21,1220.4200439453125,1234.0,1196.219970703125,1199.25,419700
2023-03-22,1186.6300048828125,1225.6500244140625,1185.0799560546875,1224.199951171875,381500
2023-03-23,1191.550048828125,1236.02001953125,1178.5699462890625,1205.9200439453125,406900
2023-03-24,1187.280029296875,1197.260009765625,1163.8399658203125,1184.280029296875,424600
2023-03-27,1191.7900390625,1215.9000244140625,1182.5999755859375,1198.0,355600
2023-03-28,1196.739990234375,1198.6400146484375,1183.0,1186.0899658203125,251700
2023-03-29,1224.8800048828125,1230.22998046875,1208.1400146484375,1212.6700439453125,373700
2023-03-30,1266.800048828125,1269.1800537109375,1228.0,1247.989990234375,463900
2023-03-31,1318.06005859375,1325.6700439453125,1266.1300048828125,1273.8800048828125,719200
2023-04-03,1313.6400146484375,1317.77001953125,1297.0,1305.0,393600
2023-04-04,1301.9000244140625,1329.489990234375,1296.8599853515625,1328.0,285500
2023-04-05,1250.050048828125,1295.1800537109375,1240.5,1288.280029296875,473100
2023-04-06,1245.0,1253.969970703125,1207.699951171875,1233.9000244140625,323700
2023-04-10,1251.6199951171875,1252.3900146484375,1210.2900390625,1225.219970703125,289800
2023-04-11,1285.06005859375,1288.8800048828125,1253.5799560546875,1253.5799560546875,403400
2023-04-12,1256.0400390625,1314.9100341796875,1249.699951171875,1307.4599609375,393400
2023-04-13,1296.1199951171875,1304.0,1268.47998046875,1277.3900146484375,344000
2023-04-14,1301.8800048828125,1319.97998046875,1289.449951171875,1294.1700439453125,248000
2023-04-17,1314.739990234375,1315.8800048828125,1285.6400146484375,1301.52001953125,241600
2023-04-18,1321.469970703125,1337.75,1315.949951171875,1320.5999755859375,274000
2023-04-19,1308.2900390625,1324.199951171875,1302.260009765625,1305.31005859375,209900
2023-04-20,1293.77001953125,1308.2900390625,1285.300048828125,1288.280029296875,286600
2023-04-21,1281.9200439453125,1304.280029296875,1268.1199951171875,1296.22998046875,262100
2023-04-24,1273.6199951171875,1285.989990234375,1252.1300048828125,1282.0,316600
2023-04-25,1229.550048828125,1262.31005859375,1227.5799560546875,1261.780029296875,341400
2023-04-26,1235.6300048828125,1259.989990234375,1232.9200439453125,1241.9599609375,315700
2023-04-27,1244.9200439453125,1257.969970703125,1233.719970703125,1257.969970703125,300900
2023-04-28,1277.489990234375,1294.27001953125,1237.25,1248.3800048828125,446200
2023-05-01,1291.6500244140625,1298.72998046875,1260.0,1263.219970703125,267300
2023-05-02,1255.739990234375,1292.47998046875,1242.6700439453125,1292.47998046875,376000
2023-05-03,1279.989990234375,1296.72998046875,1256.2900390625,1267.1800537109375,566200
2023-05-04,1213.3800048828125,1336.81005859375,1196.1600341796875,1326.050048828125,1238700
2023-05-05,1243.5899658203125,1263.9200439453125,1221.93994140625,1225.780029296875,478300
2023-05-08,1284.5,1289.4100341796875,1242.550048828125,1242.550048828125,451300
2023-05-09,1248.050048828125,1281.199951171875,1244.77001953125,1267.56005859375,469100
2023-05-10,1288.9200439453125,1317.280029296875,1263.0899658203125,1268.0,535000
2023-05-11,1296.52001953125,1303.0,1281.800048828125,1296.0,334600
2023-05-12,1279.6700439453125,1295.3699951171875,1261.6400146484375,1293.9300537109375,275800
2023-05-15,1296.800048828125,1306.2900390625,1284.1700439453125,1289.9300537109375,507900
2023-05-16,1275.3900146484375,1301.6700439453125,1268.06005859375,1286.2099609375,347600
2023-05-17,1320.1500244140625,1330.5699462890625,1276.0,1288.25,458600
2023-05-18,1332.489990234375,1336.1700439453125,1309.199951171875,1320.0,349900
2023-05-19,1310.8800048828125,1327.3299560546875,1300.0400390625,1327.3299560546875,463600
2023-05-22,1339.6199951171875,1365.6400146484375,1308.800048828125,1313.3299560546875,604300
2023-05-23,1299.8299560546875,1357.550048828125,1293.0,1328.43994140625,491900
2023-05-24,1284.1300048828125,1297.18994140625,1261.1099853515625,1290.0,326200
2023-05-25,1249.9100341796875,1307.8800048828125,1246.81005859375,1300.4200439453125,368300
2023-05-26,1282.260009765625,1296.0,1250.6500244140625,1252.52001953125,409100
2023-05-30,1249.719970703125,1301.97998046875,1242.3199462890625,1297.25,515100
2023-05-31,1239.0,1248.6400146484375,1226.6199951171875,1244.3599853515625,637500
2023-06-01,1258.02001953125,1278.469970703125,1232.0,1240.0899658203125,344300
