Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,345.5,348.6000061035156,342.80999755859375,346.2200012207031,329.2702941894531,1589700
2023-01-04,348.0299987792969,350.30999755859375,345.0799865722656,347.70001220703125,330.6778869628906,1881000
2023-01-05,344.25,345.1400146484375,340.1400146484375,343.760009765625,326.93072509765625,1397800
2023-01-06,347.29998779296875,349.0,340.95001220703125,348.0799865722656,331.0392761230469,3097800
2023-01-09,351.8800048828125,356.5,349.5,353.0,335.7184143066406,1989000
2023-01-10,352.6400146484375,357.5,350.5,357.3599853515625,339.8648986816406,1610100
2023-01-11,358.8699951171875,365.5,356.2099914550781,364.4800109863281,346.63641357421875,2127000
2023-01-12,366.239990234375,370.1000061035156,362.57000732421875,369.94000244140625,351.8290710449219,2103100
2023-01-13,363.489990234375,374.3500061035156,362.3599853515625,374.0,355.6903076171875,3310200
2023-01-17,364.79998779296875,366.7900085449219,344.0,349.9200134277344,332.7891845703125,14448300
2023-01-18,348.32000732421875,354.7900085449219,347.79998779296875,349.0899963378906,331.9997863769531,5585200
2023-01-19,346.0299987792969,352.1600036621094,345.5199890136719,350.75,333.5785217285156,3100400
2023-01-20,349.8699951171875,352.25,338.2099914550781,341.8399963378906,325.104736328125,11247200
2023-01-23,341.6700134277344,349.55999755859375,336.1600036621094,349.1400146484375,332.04742431640625,4915700
2023-01-24,340.0,350.29998779296875,340.0,348.3299865722656,331.2769470214844,2372000
2023-01-25,344.75,349.9599914550781,343.8999938964844,349.6300048828125,332.51336669921875,1985200
2023-01-26,351.7300109863281,355.0,349.5199890136719,354.9700012207031,337.5919494628906,1919200
2023-01-27,351.95001220703125,355.989990234375,351.8299865722656,353.70001220703125,336.3841247558594,2427400
2023-01-30,353.2900085449219,362.3299865722656,352.3999938964844,357.4599914550781,339.96002197265625,3184500
2023-01-31,359.1600036621094,365.9200134277344,356.8599853515625,365.80999755859375,347.9012451171875,2311500
2023-02-01,359.1000061035156,368.94000244140625,358.760009765625,365.7099914550781,347.8061218261719,2889400
2023-02-02,368.0,372.8900146484375,364.54998779296875,369.4700012207031,351.382080078125,2619600
2023-02-03,365.6199951171875,374.57000732421875,365.44000244140625,369.95001220703125,351.83856201171875,2243100
2023-02-06,369.0,371.260009765625,365.7799987792969,370.79998779296875,352.6469421386719,1816200
2023-02-07,368.1700134277344,376.30999755859375,367.3399963378906,374.3999938964844,356.0707092285156,2205500
2023-02-08,372.9200134277344,378.3500061035156,371.9800109863281,375.1000061035156,356.7364196777344,1893200
2023-02-09,377.0400085449219,379.67999267578125,367.79998779296875,367.989990234375,349.97454833984375,2052500
2023-02-10,367.0,372.2300109863281,364.55999755859375,371.2799987792969,353.10345458984375,1933400
2023-02-13,369.0899963378906,375.05999755859375,368.0,374.0199890136719,355.70928955078125,1570600
2023-02-14,373.94000244140625,377.04998779296875,369.3800048828125,371.7799987792969,353.5789794921875,2155500
2023-02-15,368.739990234375,374.3699951171875,368.25,374.3399963378906,356.013671875,1687200
2023-02-16,370.75,374.25,368.79998779296875,370.20001220703125,352.0763244628906,1947800
2023-02-17,368.04998779296875,371.05999755859375,366.8599853515625,368.5,350.4595642089844,1857300
2023-02-21,366.7200012207031,366.7200012207031,360.0899963378906,361.1199951171875,343.44085693359375,2403000
2023-02-22,361.6300048828125,363.0,358.0400085449219,360.8900146484375,343.22210693359375,2203800
